,index,card_id,card_name,card_market_value
347,1196,base1-97,Fighting Energy,0.31
348,1197,base1-96,Double Colorless Energy,5.73
349,1198,base1-4,Charizard,459.2
350,1199,base1-2,Blastoise,160.38
351,1201,base1-15,Venusaur,117.13
352,1202,base1-10,Mewtwo,38.99
353,1203,base1-16,Zapdos,36.59
354,1204,base1-6,Gyarados,34.98
355,1205,base1-13,Poliwrath,20.44
356,1206,base1-11,Nidoking,28.8
357,1207,base1-7,Hitmonchan,18.53
358,1208,base1-9,Magneton,20.29
359,1209,base1-3,Chansey,28.22
